,country,year,total_gdp,suicides_no,population,suicides_rate,gdp_per_capita
675,Estonia,1996,4746109767,545,1342202,40.6049,3536.06
676,Estonia,1997,5066240419,522,1331234,39.2117,3805.67
677,Estonia,1998,5617109245,477,1321719,36.0894,4249.85
678,Estonia,1999,5726897998,468,1313198,35.6382,4361.03
679,Estonia,2000,5685774809,377,1334175,28.2572,4261.64
680,Estonia,2001,6245069734,401,1325610,30.2502,4711.09
681,Estonia,2002,7322069511,371,1316690,28.1767,5560.97
682,Estonia,2003,9833870709,342,1307160,26.1636,7523.08
683,Estonia,2004,12059201242,323,1297650,24.8911,9293.11
684,Estonia,2005,14006088297,273,1288495,21.1875,10870.11
685,Estonia,2006,16963625016,247,1278915,19.3132,13264.08
686,Estonia,2007,22237061730,251,1270415,19.7573,17503.78
687,Estonia,2008,24194039256,242,1264005,19.1455,19140.78
688,Estonia,2009,19652492637,269,1259010,21.366,15609.48
689,Estonia,2010,19490936349,223,1254225,17.7799,15540.22
690,Estonia,2011,23170239901,218,1249427,17.448,18544.69
691,Estonia,2012,23043864510,237,1251631,18.9353,18411.07
692,Estonia,2013,25137153149,218,1243096,17.5369,20221.41
693,Estonia,2014,26224622451,241,1241852,19.4065,21117.35
694,Estonia,2015,22566956982,195,1243450,15.6822,18148.66
695,Fiji,2001,1660102346,36,719459,5.0038,2307.43
696,Fiji,2002,1842691481,42,723187,5.8076,2548.02
697,Fiji,2003,2315935753,10,725591,1.3782,3191.79
698,Fiji,2004,2727507213,24,728408,3.2949,3744.48
699,Fiji,2005,3006725015,22,732607,3.003,4104.14
700,Fiji,2006,3102741451,24,737759,3.2531,4205.63
701,Fiji,2007,3405050612,13,745055,1.7448,4570.2
702,Fiji,2008,3523185920,37,753658,4.9094,4674.78
703,Fiji,2009,2870624636,26,762403,3.4103,3765.23
704,Fiji,2011,3774530616,38,776325,4.8949,4862.05
705,Fiji,2012,3972012571,32,782939,4.0872,5073.21
706,Finland,1987,91642093873,1363,4614100,29.5399,19861.32
707,Finland,1988,109000000000,1402,4633600,30.2573,23523.83
708,Finland,1989,119000000000,1413,4654300,30.359,25567.75
709,Finland,1990,142000000000,1512,4675100,32.3416,30373.68
710,Finland,1991,128000000000,1493,4698500,31.7761,27242.74
711,Finland,1992,113000000000,1451,4720900,30.7357,23936.11
712,Finland,1993,89255751015,1397,4741000,29.4664,18826.36
713,Finland,1994,103000000000,1387,4761600,29.1289,21631.38
714,Finland,1995,134000000000,1388,4781300,29.0298,28025.85
715,Finland,1996,132000000000,1247,4802200,25.9673,27487.4
716,Finland,1997,127000000000,1322,4823200,27.4092,26331.07
717,Finland,1998,134000000000,1228,4844673,25.3474,27659.25
718,Finland,1999,135000000000,1207,4864255,24.8137,27753.48
719,Finland,2000,126000000000,1165,4881820,23.8641,25810.05
720,Finland,2001,129000000000,1204,4898983,24.5765,26332.0
721,Finland,2002,140000000000,1095,4915614,22.276,28480.67
722,Finland,2003,171000000000,1075,4929856,21.8059,34686.61
723,Finland,2004,197000000000,1064,4944765,21.5177,39840.11
724,Finland,2005,204000000000,994,4961784,20.0331,41114.24
725,Finland,2006,217000000000,1062,4979740,21.3264,43576.57
726,Finland,2007,255000000000,995,4998853,19.9046,51011.7
727,Finland,2008,284000000000,1033,5020096,20.5773,56572.62
728,Finland,2009,251000000000,1034,5042316,20.5064,49778.71
729,Finland,2010,248000000000,954,5063494,18.8407,48978.04
730,Finland,2011,274000000000,912,5085985,17.9316,53873.54
731,Finland,2012,257000000000,873,5110450,17.0826,50289.11
732,Finland,2013,270000000000,887,5135433,17.2722,52575.9
733,Finland,2014,273000000000,789,5159944,15.2909,52907.55
734,Finland,2015,232000000000,731,5181797,14.1071,44772.11
735,France,1985,553000000000,12501,51382600,24.3292,10762.4
736,France,1986,771000000000,12529,51637600,24.2633,14930.98
737,France,1987,934000000000,12161,51900800,23.4312,17995.87
738,France,1988,1020000000000,11599,52157600,22.2384,19556.11
739,France,1989,1030000000000,11715,52417900,22.3492,19649.78
740,France,1990,1270000000000,11403,52952900,21.5342,23983.58
741,France,1991,1270000000000,11502,53282900,21.5867,23835.04
742,France,1992,1400000000000,11644,53622300,21.7148,26108.54
743,France,1993,1320000000000,12251,53945400,22.71,24469.19
744,France,1994,1390000000000,12041,54247100,22.1966,25623.49
745,France,1995,1600000000000,11819,54528500,21.6749,29342.45
746,France,1996,1610000000000,11279,54791600,20.5853,29384.07
747,France,1997,1450000000000,11139,55045500,20.236,26341.84
748,France,1998,1500000000000,10534,55280700,19.0555,27134.24
749,France,1999,1490000000000,10268,55043393,18.6544,27069.55
750,France,2000,1360000000000,10849,55267624,19.6299,24607.54
751,France,2001,1380000000000,10449,55511272,18.8232,24859.82
752,France,2002,1490000000000,10643,55935517,19.0273,26637.82
753,France,2003,1840000000000,10871,56360402,19.2884,32647.03
754,France,2004,2120000000000,10804,56813922,19.0165,37314.8
755,France,2005,2200000000000,10713,57160687,18.7419,38487.99
756,France,2006,2320000000000,10423,57824447,18.0252,40121.44
757,France,2007,2660000000000,10127,58167011,17.4102,45730.39
758,France,2008,2920000000000,10353,58482967,17.7026,49929.07
759,France,2009,2690000000000,10499,58770727,17.8643,45771.09
760,France,2010,2640000000000,10379,59056283,17.5748,44703.12
761,France,2011,2860000000000,10408,59344643,17.5382,48193.06
762,France,2012,2680000000000,9743,59638457,16.3368,44937.45
763,France,2013,2810000000000,9600,59910069,16.024,46903.63
764,France,2014,2850000000000,8881,60275954,14.7339,47282.54
765,Georgia,1990,7753501868,196,4986400,3.9307,1554.93
766,Georgia,1991,6357615894,174,5018550,3.4671,1266.82
767,Georgia,1992,3690328964,204,4988700,4.0892,739.74
768,Georgia,1994,2513870587,123,4518900,2.7219,556.3
769,Georgia,1995,2693731866,138,4410850,3.1286,610.71
770,Georgia,1996,3094915506,162,4310350,3.7584,718.02
771,Georgia,1997,3510540809,176,4240600,4.1504,827.84
772,Georgia,1998,3613500117,148,4209250,3.5161,858.47
773,Georgia,1999,2800024314,189,4187750,4.5132,668.62
774,Georgia,2000,3057453483,130,4165600,3.1208,733.98
775,Georgia,2001,3219487747,100,4140950,2.4149,777.48
776,Georgia,2004,5125363001,175,4089850,4.2789,1253.19
777,Georgia,2005,6410852596,87,4132000,2.1055,1551.51
778,Georgia,2006,7745406201,72,4166500,1.7281,1858.97
779,Georgia,2007,10172869680,104,4154900,2.5031,2448.4
780,Georgia,2009,10766809099,188,4158750,4.5206,2588.95
781,Georgia,2010,11638536834,112,4193800,2.6706,2775.18
782,Georgia,2011,14434619982,99,4202600,2.3557,3434.69
783,Georgia,2012,15846474596,104,4200900,2.4757,3772.16
784,Georgia,2013,16140047012,157,4192600,3.7447,3849.65
785,Georgia,2014,16509305828,194,3470600,5.5898,4756.9
786,Georgia,2015,13993546732,192,3458400,5.5517,4046.25
787,Germany,1990,1760000000000,13924,74958800,18.5755,23479.56
788,Germany,1991,1860000000000,14010,75495900,18.5573,24637.1
789,Germany,1992,2120000000000,13458,76131700,17.6773,27846.48
790,Germany,1993,2070000000000,12690,76793400,16.5249,26955.44
791,Germany,1994,2210000000000,12718,77163400,16.4819,28640.52
792,Germany,1995,2590000000000,12888,77547500,16.6195,33398.88
793,Germany,1996,2500000000000,12225,77882500,15.6967,32099.64
794,Germany,1997,2220000000000,12256,78067900,15.6992,28436.78
795,Germany,1998,2240000000000,11654,78071100,14.9274,28691.8
796,Germany,1999,2200000000000,11160,78141200,14.2818,28154.16
797,Germany,2000,1950000000000,11073,78242066,14.1522,24922.65
798,Germany,2001,1950000000000,11167,78421514,14.2397,24865.63
799,Germany,2002,2080000000000,11176,78633771,14.2127,26451.74
800,Germany,2003,2510000000000,11155,78756461,14.1639,31870.4
801,Germany,2004,2820000000000,10741,78811814,13.6287,35781.44
802,Germany,2005,2860000000000,10270,78851254,13.0245,36270.82
803,Germany,2006,3000000000000,9775,78828994,12.4003,38057.06
804,Germany,2007,3440000000000,9409,78776585,11.9439,43667.8
805,Germany,2008,3750000000000,9459,78662789,12.0247,47671.84
806,Germany,2009,3420000000000,9579,78448602,12.2105,43595.42
807,Germany,2010,3420000000000,10030,78349067,12.8017,43650.81
808,Germany,2011,3760000000000,10153,78371140,12.955,47976.84
809,Germany,2012,3540000000000,9896,78508115,12.6051,45090.88
810,Germany,2013,3750000000000,10091,77270988,13.0592,48530.5
811,Germany,2014,3890000000000,10217,77552369,13.1743,50159.65
812,Germany,2015,3380000000000,10088,78136683,12.9107,43257.53
813,Greece,1985,47820850975,405,9275400,4.3664,5155.66
814,Greece,1986,56379593720,393,9334000,4.2104,6040.24
815,Greece,1987,65652751132,410,9387400,4.3676,6993.71
816,Greece,1988,76261278405,403,9450000,4.2646,8069.98
817,Greece,1989,79169043642,383,9527500,4.0199,8309.53
818,Greece,1990,97891090929,349,9617000,3.629,10178.96
819,Greece,1991,105000000000,381,9721144,3.9193,10801.2
820,Greece,1992,116000000000,351,9834155,3.5692,11795.62
821,Greece,1993,109000000000,412,9930405,4.1489,10976.39
822,Greece,1994,117000000000,355,10018932,3.5433,11677.89
823,Greece,1995,137000000000,370,10101632,3.6628,13562.17
824,Greece,1996,146000000000,356,10178479,3.4976,14343.99
825,Greece,1997,143000000000,374,10248806,3.6492,13952.84
826,Greece,1998,144000000000,403,10310630,3.9086,13966.17
827,Greece,1999,143000000000,381,10362363,3.6768,13799.94
828,Greece,2000,130000000000,382,10403059,3.672,12496.32
829,Greece,2001,136000000000,334,10441529,3.1988,13024.91
830,Greece,2002,154000000000,323,10482045,3.0815,14691.79
831,Greece,2003,202000000000,375,10515665,3.5661,19209.44
832,Greece,2004,241000000000,353,10547290,3.3468,22849.47
833,Greece,2005,248000000000,400,10582816,3.7797,23434.22
834,Greece,2006,273000000000,394,10618891,3.7104,25708.9
835,Greece,2007,318000000000,328,10653591,3.0788,29849.09
836,Greece,2008,354000000000,373,10686723,3.4903,33125.22
837,Greece,2009,330000000000,391,10719618,3.6475,30784.68
838,Greece,2010,299000000000,377,10735384,3.5118,27851.82
839,Greece,2011,288000000000,477,10728724,4.446,26843.83
840,Greece,2012,246000000000,508,10539802,4.8198,23340.1
841,Greece,2013,240000000000,533,10431289,5.1096,23007.7
842,Greece,2014,237000000000,565,10380547,5.4429,22831.17
843,Greece,2015,196000000000,529,10331286,5.1204,18971.5
844,Grenada,1985,167728444,1,85375,1.1713,1964.61
845,Grenada,1988,236357519,4,87300,4.5819,2707.42
846,Grenada,1989,267327630,4,81805,4.8897,3267.86
847,Grenada,1990,278098778,2,82000,2.439,3391.45
848,Grenada,1991,300757889,0,82400,0.0,3649.97
849,Grenada,1992,310160444,0,83528,0.0,3713.25
850,Grenada,1993,309812185,3,85304,3.5168,3631.86
851,Grenada,1994,325111815,4,87036,4.5958,3735.37
852,Grenada,1995,342172519,1,88433,1.1308,3869.29
853,Grenada,1996,366911444,1,89772,1.1139,4087.15
854,Grenada,2001,520444185,0,91415,0.0,5693.2
855,Grenada,2002,540336926,0,91908,0.0,5879.11
856,Grenada,2003,591018407,4,92567,4.3212,6384.76
857,Grenada,2004,599118593,1,93202,1.0729,6428.17
858,Grenada,2005,695370296,6,93685,6.4044,7422.43
859,Grenada,2006,698700667,1,94126,1.0624,7423.04
860,Grenada,2007,758683593,3,94418,3.1774,8035.37
861,Grenada,2008,825977889,0,94585,0.0,8732.65
862,Grenada,2009,771278111,0,94746,0.0,8140.48
863,Grenada,2010,771015889,0,94980,0.0,8117.67
864,Grenada,2011,778648667,1,95102,1.0515,8187.51
865,Grenada,2012,799882148,2,95426,2.0959,8382.22
866,Grenada,2013,842620111,0,95876,0.0,8788.64
867,Grenada,2014,911481481,0,96393,0.0,9455.89
868,Grenada,2015,997007926,0,96892,0.0,10289.89
869,Grenada,2016,1056188593,0,79012,0.0,13367.45
870,Guatemala,1986,7231963516,203,6924188,2.9318,1044.45
871,Guatemala,1987,7084399840,241,7108740,3.3902,996.58
872,Guatemala,1988,7841602824,174,7300076,2.3835,1074.18
873,Guatemala,1989,8410724361,152,7493108,2.0285,1122.46
874,Guatemala,1990,7650125217,158,7683992,2.0562,995.59
875,Guatemala,1991,9406097735,156,7880665,1.9795,1193.57
876,Guatemala,1992,10440842165,173,8069672,2.1438,1293.84
877,Guatemala,1993,11399942453,165,8254958,1.9988,1380.98
878,Guatemala,1994,12983235568,142,8443914,1.6817,1537.59
879,Guatemala,1995,14655404433,211,8641512,2.4417,1695.93
880,Guatemala,1996,15674835615,157,8832326,1.7776,1774.71
881,Guatemala,1997,17790026222,179,9044205,1.9792,1967.01
882,Guatemala,1998,19395491993,201,9273529,2.1675,2091.49
883,Guatemala,1999,18318412251,234,9512666,2.4599,1925.69
884,Guatemala,2000,19288827159,182,9755585,1.8656,1977.21
885,Guatemala,2001,18702802395,202,10015097,2.017,1867.46
886,Guatemala,2002,20776669467,258,10277166,2.5104,2021.63
887,Guatemala,2003,21917706491,253,10542980,2.3997,2078.89
888,Guatemala,2004,23965275996,250,10817808,2.311,2215.35
889,Guatemala,2005,27211377225,238,11104906,2.1432,2450.39
890,Guatemala,2006,30231249362,298,11397134,2.6147,2652.53
891,Guatemala,2007,34113107086,327,11708397,2.7929,2913.56
892,Guatemala,2008,39136893345,492,12032885,4.0888,3252.49
893,Guatemala,2009,37733994976,511,12359945,4.1343,3052.93
894,Guatemala,2010,41338595381,352,12682151,2.7756,3259.59
895,Guatemala,2011,47654841113,359,13017342,2.7579,3660.87
896,Guatemala,2012,50388454861,420,13335425,3.1495,3778.54
897,Guatemala,2013,53851058955,455,13641878,3.3353,3947.48
898,Guatemala,2014,58722323918,512,13947190,3.671,4210.33
899,Guatemala,2015,63767597194,494,14258397,3.4646,4472.28
900,Guyana,1988,413799990,56,654894,8.551,631.86
901,Guyana,1989,379779390,94,654104,14.3708,580.61
902,Guyana,1990,396582263,89,653426,13.6205,606.93
903,Guyana,1991,336708419,105,654620,16.0398,514.36
904,Guyana,1992,368281379,78,656713,11.8773,560.8
905,Guyana,1993,442273433,72,658831,10.9284,671.3
906,Guyana,1994,540874934,86,660582,13.0188,818.79
907,Guyana,1995,621626786,99,661682,14.9619,939.46
908,Guyana,1996,705406001,60,659048,9.104,1070.34
909,Guyana,1997,749138010,40,657584,6.0829,1139.23
910,Guyana,1998,717530683,35,657089,5.3265,1091.98
911,Guyana,1999,694754988,163,657094,24.8062,1057.31
912,Guyana,2001,696281472,197,660426,29.8292,1054.29
913,Guyana,2002,722460886,176,662839,26.5525,1089.95
914,Guyana,2003,741929343,198,664705,29.7877,1116.18
915,Guyana,2004,785918770,186,666308,27.915,1179.51
916,Guyana,2005,824880550,169,667709,25.3104,1235.39
917,Guyana,2006,1458449453,201,668408,30.0715,2181.97
918,Guyana,2007,1740334782,185,668788,27.662,2602.22
919,Guyana,2008,1922598121,168,669253,25.1026,2872.75
920,Guyana,2009,2061323854,156,670155,23.2782,3075.89
921,Guyana,2010,2273225042,205,671825,30.5139,3383.66
922,Guyana,2011,2576024116,192,675283,28.4325,3814.73
923,Guyana,2012,2861562266,206,679356,30.3228,4212.17
924,Guyana,2013,2990006534,210,683867,30.7077,4372.2
925,Hungary,1991,34748508332,3993,9757766,40.9213,3561.11
926,Hungary,1992,38724945368,4000,9754956,41.0048,3969.77
927,Hungary,1993,40119073326,3694,9747902,37.8953,4115.66
928,Hungary,1994,43160392124,3625,9740817,37.2145,4430.88
929,Hungary,1995,46418916500,3366,9737248,34.5683,4767.15
930,Hungary,1996,46659796773,3436,9737250,35.2872,4791.89
931,Hungary,1997,47290180589,3208,9737781,32.9439,4856.36
932,Hungary,1998,48770466839,3245,9734373,33.3355,5010.13
933,Hungary,1999,49170434391,3326,9553064,34.8161,5147.09
934,Hungary,2000,47310623887,3269,9527034,34.3129,4965.93
935,Hungary,2001,53821315066,2978,9704598,30.6865,5545.96
936,Hungary,2002,67716887203,2839,9680164,29.328,6995.43
937,Hungary,2003,85324771841,2800,9652533,29.0079,8839.62
938,Hungary,2004,104000000000,2742,9630044,28.4734,10799.54
939,Hungary,2005,113000000000,2619,9608943,27.2559,11759.88
940,Hungary,2006,115000000000,2461,9591110,25.6592,11990.27
941,Hungary,2007,140000000000,2450,9572938,25.593,14624.56
942,Hungary,2008,158000000000,2476,9552784,25.9191,16539.68
943,Hungary,2009,131000000000,2460,9534237,25.8018,13739.96
944,Hungary,2010,131000000000,2489,9514005,26.1614,13769.18
945,Hungary,2011,141000000000,2420,9495011,25.4871,14849.9
946,Hungary,2012,128000000000,2349,9453181,24.8488,13540.42
947,Hungary,2013,135000000000,2092,9433840,22.1755,14310.19
948,Hungary,2014,140000000000,1925,9412788,20.4509,14873.38
949,Hungary,2015,123000000000,1868,9389519,19.8945,13099.71
950,Hungary,2016,126000000000,1761,8390370,20.9883,15017.22
951,Iceland,1985,2939845038,32,220100,14.5388,13356.86
952,Iceland,1986,3930518366,37,222300,16.6442,17681.14
953,Iceland,1987,5438537482,36,225600,15.9574,24106.99
954,Iceland,1988,6016168896,35,229200,15.2705,26248.56
955,Iceland,1989,5588533007,22,232000,9.4828,24088.5
956,Iceland,1990,6372905073,40,233300,17.1453,27316.35
957,Iceland,1991,6807365898,37,235900,15.6846,28857.0
958,Iceland,1992,6976080331,28,238000,11.7647,29311.26
959,Iceland,1993,6126456175,26,240500,10.8108,25473.83
960,Iceland,1994,6294803497,25,242700,10.3008,25936.56
961,Iceland,1995,7018100153,27,244700,11.0339,28680.43
962,Iceland,1996,7330965239,33,246500,13.3874,29740.22
963,Iceland,1997,7548912105,33,248929,13.2568,30325.56
964,Iceland,1998,8453704212,30,252253,11.8928,33512.8
965,Iceland,1999,8917286036,31,255820,12.1179,34857.66
966,Iceland,2000,8927140438,50,259723,19.2513,34371.77
967,Iceland,2001,8136345144,36,263738,13.6499,30850.11
968,Iceland,2002,9207689916,30,266455,11.2589,34556.27
969,Iceland,2003,11316441660,26,268330,9.6896,42173.6
970,Iceland,2004,13722824251,35,271588,12.8872,50528.09
971,Iceland,2005,16691490114,33,274929,12.0031,60712.0
972,Iceland,2006,17048647568,32,282999,11.3075,60242.78
973,Iceland,2007,21319946740,37,289712,12.7713,73590.14
974,Iceland,2008,17658408759,38,296836,12.8017,59488.77
975,Iceland,2009,12944114736,36,296204,12.1538,43700.0
976,Iceland,2010,13310567803,46,294620,15.6133,45178.77
977,Iceland,2011,14732689535,27,295475,9.1378,49861.04
978,Iceland,2012,14292008745,37,297238,12.4479,48082.71
979,Iceland,2013,15548321544,49,300456,16.3085,51749.08
980,Iceland,2014,17304033021,44,304472,14.4512,56832.92
981,Iceland,2015,16942247374,40,308554,12.9637,54908.53
982,Iceland,2016,20304098101,40,268773,14.8824,75543.67
983,Ireland,1985,21295486383,276,3208200,8.603,6637.83
984,Ireland,1986,28748960471,282,3216700,8.7667,8937.41
985,Ireland,1987,33961142322,245,3229700,7.5858,10515.26
986,Ireland,1988,37818134253,266,3233500,8.2264,11695.73
987,Ireland,1989,39285385088,278,3223200,8.625,12188.32
988,Ireland,1990,49364681256,334,3224000,10.3598,15311.63
989,Ireland,1991,49847128533,345,3252100,10.6085,15327.67
990,Ireland,1992,55985506499,362,3283400,11.0252,17051.08
991,Ireland,1993,52480253169,326,3306500,9.8594,15871.84
992,Ireland,1994,57166037102,394,3326000,11.8461,17187.62
993,Ireland,1995,69222626263,403,3345900,12.0446,20688.79
994,Ireland,1996,75880632560,408,3375800,12.086,22477.82
995,Ireland,1997,82826146132,466,3414285,13.6485,24258.71
996,Ireland,1998,90082034316,498,3449415,14.4372,26115.16
997,Ireland,1999,98691849563,424,3481871,12.1774,28344.49
998,Ireland,2000,99853528653,463,3523376,13.1408,28340.3
999,Ireland,2001,109000000000,488,3573974,13.6543,30498.26
1000,Ireland,2002,128000000000,449,3639573,12.3366,35168.96
1001,Ireland,2003,164000000000,454,3694079,12.2899,44395.37
1002,Ireland,2004,194000000000,464,3752679,12.3645,51696.4
1003,Ireland,2005,212000000000,451,3833357,11.7651,55304.01
1004,Ireland,2006,232000000000,452,3937578,11.4791,58919.47
1005,Ireland,2007,270000000000,458,4026707,11.3741,67052.31
1006,Ireland,2008,275000000000,506,4094192,12.359,67168.32
1007,Ireland,2009,236000000000,527,4117667,12.7985,57314.01
1008,Ireland,2010,222000000000,486,4264857,11.3955,52053.33
1009,Ireland,2011,239000000000,554,4218849,13.1315,56650.52
1010,Ireland,2012,226000000000,542,4220806,12.8411,53544.28
1011,Ireland,2013,239000000000,487,4227378,11.5201,56536.23
1012,Ireland,2014,258000000000,486,4328043,11.2291,59611.24
1013,Israel,1985,27493591484,234,3753500,6.2342,7324.79
1014,Israel,1986,34083532195,278,3813500,7.2899,8937.6
1015,Israel,1987,40946424370,271,3878100,6.988,10558.37
1016,Israel,1988,50078767903,303,3947300,7.6761,12686.84
1017,Israel,1989,49881433991,353,4021100,8.7787,12404.92
1018,Israel,1990,58986997917,304,4156100,7.3145,14192.87
1019,Israel,1991,67530220219,359,4423200,8.1163,15267.28
1020,Israel,1992,75575902932,381,4588900,8.3026,16469.29
1021,Israel,1993,75954641355,371,4717000,7.8652,16102.32
1022,Israel,1994,86307135997,416,4844900,8.5863,17814.02
1023,Israel,1995,100000000000,360,4977700,7.2323,20089.6
1024,Israel,1996,110000000000,306,5103700,5.9957,21552.99
1025,Israel,1997,115000000000,379,5233500,7.2418,21973.82
1026,Israel,1998,116000000000,318,5360200,5.9326,21640.98
1027,Israel,1999,117000000000,368,5497047,6.6945,21284.15
1028,Israel,2000,132000000000,394,5643291,6.9817,23390.61
1029,Israel,2001,131000000000,398,5777467,6.8888,22674.3
1030,Israel,2002,121000000000,382,5895508,6.4795,20524.1
1031,Israel,2003,127000000000,417,6003127,6.9464,21155.64
1032,Israel,2004,135000000000,411,6109931,6.7268,22095.18
1033,Israel,2005,142000000000,425,6220861,6.8319,22826.42
1034,Israel,2006,154000000000,367,6334485,5.7937,24311.37
1035,Israel,2007,179000000000,326,6448814,5.0552,27757.04
1036,Israel,2008,216000000000,354,6565602,5.3917,32898.73
1037,Israel,2009,207000000000,404,6731835,6.0013,30749.42
1038,Israel,2010,234000000000,480,6849825,7.0075,34161.46
1039,Israel,2011,262000000000,409,6971495,5.8667,37581.61
1040,Israel,2012,257000000000,430,7095360,6.0603,36220.85
1041,Israel,2013,292000000000,372,7226008,5.1481,40409.59
1042,Israel,2014,308000000000,382,7366252,5.1858,41812.31
1043,Israel,2015,299000000000,342,7516180,4.5502,39780.85
1044,Italy,1985,451000000000,4759,54114700,8.7943,8334.15
1045,Italy,1986,638000000000,4691,54267500,8.6442,11756.58
1046,Italy,1987,803000000000,4516,54424100,8.2978,14754.49
1047,Italy,1988,889000000000,4381,54579700,8.0268,16288.11
1048,Italy,1989,926000000000,4342,54697200,7.9382,16929.57
1049,Italy,1990,1180000000000,4402,54831700,8.0282,21520.4
1050,Italy,1991,1240000000000,4453,54465500,8.1758,22766.71
1051,Italy,1992,1320000000000,4543,54154898,8.3889,24374.53
1052,Italy,1993,1060000000000,4697,54140523,8.6756,19578.68
1053,Italy,1994,1100000000000,4536,54143049,8.3778,20316.55
1054,Italy,1995,1170000000000,4569,54141172,8.439,21610.17
1055,Italy,1996,1310000000000,4689,54150332,8.6592,24191.91
1056,Italy,1997,1240000000000,4694,54181477,8.6635,22886.05
1057,Italy,1998,1270000000000,4504,54250592,8.3022,23409.88
1058,Italy,1999,1250000000000,4115,54280527,7.581,23028.52
1059,Italy,2000,1140000000000,4108,54298946,7.5655,20994.88
1060,Italy,2001,1160000000000,4030,54333844,7.4171,21349.49
1061,Italy,2002,1270000000000,4069,54526842,7.4624,23291.28
1062,Italy,2003,1570000000000,4075,54937570,7.4175,28577.89
1063,Italy,2004,1800000000000,3986,54988156,7.2488,32734.32
1064,Italy,2005,1850000000000,3742,55244690,6.7735,33487.38
1065,Italy,2006,1940000000000,3700,56180672,6.5859,34531.45
1066,Italy,2007,2200000000000,3757,56583578,6.6397,38880.54
1067,Italy,2008,2390000000000,3904,57009825,6.8479,41922.6
1068,Italy,2009,2190000000000,3974,57351830,6.9292,38185.36
1069,Italy,2010,2130000000000,3989,57637843,6.9208,36954.89
1070,Italy,2011,2280000000000,4153,56610149,7.3361,40275.46
1071,Italy,2012,2070000000000,4257,56795085,7.4954,36446.82
1072,Italy,2013,2130000000000,4290,57503331,7.4604,37041.33
1073,Italy,2014,2150000000000,4147,58100676,7.1376,37004.73
1074,Italy,2015,1830000000000,3988,58117697,6.8619,31487.83
1075,Jamaica,1985,2100223150,8,2035000,0.3931,1032.05
1076,Jamaica,1986,2754566176,1,2052531,0.0487,1342.03
1077,Jamaica,1987,3286987552,13,2070760,0.6278,1587.33
1078,Jamaica,1988,3828310735,5,2090603,0.2392,1831.2
1079,Jamaica,1989,4404970059,0,2111039,0.0,2086.64
1080,Jamaica,1990,4592224067,3,2131041,0.1408,2154.92
1081,Jamaica,1991,4071219198,1,2154835,0.0464,1889.34
1082,Jamaica,2000,8985352832,3,2367841,0.1267,3794.75
1083,Jamaica,2001,9178016493,5,2391278,0.2091,3838.12
1084,Jamaica,2002,9694169757,2,2415717,0.0828,4012.96
1085,Jamaica,2003,9399447609,2,2440426,0.082,3851.56
1086,Jamaica,2004,10150978155,1,2464408,0.0406,4119.03
1087,Jamaica,2005,11204416000,51,2487169,2.0505,4504.89
1088,Jamaica,2006,11905525197,0,2512597,0.0,4738.33
1089,Jamaica,2009,12038829246,36,2568883,1.4014,4686.41
1090,Jamaica,2010,13191645686,3,2586652,0.116,5099.89
1091,Jamaica,2011,14439910353,50,2601037,1.9223,5551.6
1092,Japan,1985,1400000000000,23257,112809200,20.6162,12410.34
1093,Japan,1986,2080000000000,25484,113679000,22.4175,18297.13
1094,Japan,1987,2530000000000,23663,114416000,20.6815,22112.29
1095,Japan,1988,3070000000000,22676,115101000,19.701,26672.23
1096,Japan,1989,3050000000000,21013,115766000,18.1513,26346.25
1097,Japan,1990,3130000000000,20002,116251400,17.2058,26924.41
1098,Japan,1991,3580000000000,19780,116802000,16.9346,30650.16
1099,Japan,1992,3910000000000,20756,117311000,17.6931,33330.21
1100,Japan,1993,4450000000000,20353,117735000,17.2871,37796.75
1101,Japan,1994,4910000000000,20744,118064000,17.5701,41587.61
1102,Japan,1995,5450000000000,21249,118349500,17.9544,46050.05
1103,Japan,1996,4830000000000,21967,118785000,18.4931,40661.7
1104,Japan,1997,4410000000000,23280,119060000,19.5532,37040.15
1105,Japan,1998,4030000000000,31458,119338000,26.3604,33769.63
1106,Japan,1999,4560000000000,31115,119540000,26.0289,38146.23
1107,Japan,2000,4890000000000,29989,119752660,25.0424,40834.17
1108,Japan,2001,4300000000000,29132,120066000,24.2633,35813.64
1109,Japan,2002,4120000000000,29715,120189000,24.7236,34279.34
1110,Japan,2003,4450000000000,31881,120395000,26.4803,36961.67
1111,Japan,2004,4820000000000,30034,120500000,24.9245,40000.0
1112,Japan,2005,4760000000000,30369,120657507,25.1696,39450.51
1113,Japan,2006,4530000000000,29769,120702000,24.6632,37530.45
1114,Japan,2007,4520000000000,30665,120704000,25.4051,37446.98
1115,Japan,2008,5040000000000,30073,120602000,24.9357,41790.35
1116,Japan,2009,5230000000000,30523,120496000,25.3311,43403.93
1117,Japan,2010,5700000000000,29411,121127267,24.2811,47057.94
1118,Japan,2011,6160000000000,28766,120927000,23.7879,50939.82
1119,Japan,2012,6200000000000,26338,120735000,21.8147,51352.13
1120,Japan,2013,5160000000000,25991,120514000,21.5668,42816.6
1121,Japan,2014,4850000000000,24357,120274000,20.2513,40324.59
1122,Japan,2015,4390000000000,23092,120376310,19.1832,36468.97
1123,Kazakhstan,1990,26932728899,3172,14773900,21.4703,1822.99
1124,Kazakhstan,1991,24881135586,3082,14952800,20.6115,1663.98
